name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,car_age,price_per_kilometer
Tata Tigor 2017-2020 XZ,2018,500000,35000,Petrol,Individual,Manual,First Owner,19.41878335651954,1199.0,83.81,5.0,7,25748.266038105477
Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Individual,Manual,First Owner,19.41878335651954,1197.0,83.1,5.0,9,29610.5059438213
Maruti Alto 800 LXI,2017,275000,28000,Petrol,Individual,Manual,First Owner,19.41878335651954,796.0,47.3,5.0,8,14161.546320958014
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Individual,Manual,First Owner,19.41878335651954,1248.0,73.8,7.0,12,15448.959622863287
Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Individual,Manual,First Owner,19.41878335651954,1061.0,67.0,5.0,16,11329.237056766411
Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Individual,Manual,First Owner,19.41878335651954,796.0,34.2,8.0,7,13131.564182901719
Maruti Vitara Brezza LDi Option,2017,670000,70000,Diesel,Individual,Manual,First Owner,19.41878335651954,1248.0,88.5,5.0,8,34502.67649106134
Fiat Palio 1.2 ELX,2003,70000,50000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1248.0,82.0,5.0,22,3604.757245334767
Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Individual,Manual,Second Owner,19.41878335651954,796.0,35.0,5.0,13,7724.479811431644
Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,Petrol,Individual,Manual,First Owner,19.41878335651954,1197.0,81.83,5.0,7,37592.468415634
Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Individual,Manual,First Owner,19.41878335651954,1248.0,88.5,5.0,8,33472.745849537125
Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CNG,Individual,Manual,Second Owner,19.41878335651954,796.0,40.3,4.0,6,16993.855585149617
Maruti Alto K10 VXI Airbag,2019,366000,15000,Petrol,Individual,Manual,First Owner,19.41878335651954,998.0,67.1,5.0,6,18847.73073989321
Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,Petrol,Individual,Manual,First Owner,19.41878335651954,1591.0,121.3,5.0,6,59169.51535556639
Datsun GO D,2016,150000,42000,Petrol,Individual,Manual,First Owner,19.41878335651954,1198.0,67.0,5.0,9,7724.479811431644
Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,Diesel,Individual,Manual,Second Owner,19.41878335651954,2179.0,138.03,7.0,14,21886.026132389656
Maruti 800 Std,2012,150000,76000,Petrol,Individual,Manual,First Owner,19.41878335651954,796.0,37.0,4.0,13,7724.479811431644
Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,19.41878335651954,1368.0,160.77,5.0,6,108142.71736004301
Honda City i VTEC VX,2018,925000,28900,Petrol,Dealer,Manual,First Owner,19.41878335651954,1497.0,117.3,5.0,7,47634.29217049514
Honda City V MT,2013,425000,86300,Petrol,Dealer,Manual,First Owner,19.41878335651954,1497.0,116.3,5.0,12,21886.026132389656
Maruti Swift Dzire VXi AT,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,19.41878335651954,1197.0,83.14,5.0,7,34760.1591514424
Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Dealer,Manual,First Owner,19.41878335651954,1248.0,88.5,5.0,7,42227.10480596091
Maruti Alto K10 VXI,2018,390000,10300,Petrol,Dealer,Manual,First Owner,19.41878335651954,998.0,67.05,5.0,7,20083.647509722272
Toyota Fortuner 4x4 MT,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,19.41878335651954,2982.0,168.5,7.0,11,77244.79811431644
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,Diesel,Dealer,Manual,First Owner,19.41878335651954,2494.0,100.0,7.0,12,36047.57245334767
Mercedes-Benz B Class B180,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,19.41878335651954,2143.0,120.7,5.0,11,74669.97151050589
Honda Amaze S Diesel,2015,425000,49800,Diesel,Dealer,Manual,First Owner,19.41878335651954,1498.0,98.63,5.0,10,21886.026132389656
Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,19.41878335651954,2477.0,175.56,7.0,12,56131.21996306995
Honda City i DTEC S,2015,600000,54700,Diesel,Dealer,Manual,First Owner,19.41878335651954,1498.0,98.6,5.0,10,30897.919245726574
Maruti Ciaz Zeta,2018,850000,64000,Petrol,Dealer,Manual,First Owner,19.41878335651954,1462.0,103.25,5.0,7,43772.05226477931
Honda Jazz VX Diesel,2015,525000,63000,Diesel,Dealer,Manual,First Owner,19.41878335651954,1498.0,98.6,5.0,10,27035.679340010753
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,19.41878335651954,2755.0,171.5,7.0,9,84969.27792574809
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,Diesel,Dealer,Manual,First Owner,19.41878335651954,2494.0,100.6,7.0,9,48921.70547240041
Audi A6 2.0 TDI Technology,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,19.41878335651954,1968.0,174.33,5.0,12,90118.93113336917
Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,19.41878335651954,1798.0,138.03,5.0,7,81879.48600117542
Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,1968.0,187.74,5.0,12,87029.08771226445
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,2143.0,170.0,5.0,12,73382.55820860062
Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,Diesel,Individual,Manual,First Owner,19.41878335651954,1248.0,88.8,5.0,14,13646.581000195903
Hyundai i10 Magna,2011,190000,110000,Petrol,Individual,Manual,Third Owner,19.41878335651954,1197.0,78.9,5.0,14,9784.341094480082
Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,Diesel,Individual,Manual,First Owner,19.41878335651954,1396.0,88.76,5.0,12,21886.026132389656
Maruti Swift Dzire ZDI,2015,630000,147000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1248.0,74.0,5.0,10,32442.815208012904
Ford Figo 1.2P Titanium MT,2017,600000,25000,Petrol,Individual,Manual,Third Owner,19.41878335651954,1196.0,86.8,5.0,8,30897.919245726574
Maruti Baleno Delta 1.2,2019,650000,30000,Petrol,Individual,Manual,First Owner,19.41878335651954,1197.0,83.1,5.0,6,33472.745849537125
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,Diesel,Individual,Manual,First Owner,19.41878335651954,1498.0,108.495,5.0,9,27808.127321153916
Honda City i DTEC VX,2015,630000,135000,Diesel,Individual,Manual,First Owner,19.41878335651954,1498.0,98.6,5.0,10,32442.815208012904
Maruti Wagon R AMT VXI,2018,448000,30000,Petrol,Individual,Automatic,First Owner,19.41878335651954,998.0,67.0,5.0,7,23070.44637014251
Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Diesel,Individual,Manual,First Owner,19.41878335651954,1498.0,108.62,5.0,8,25748.266038105477
Maruti Vitara Brezza VDi,2016,745000,70000,Diesel,Individual,Manual,First Owner,19.41878335651954,1248.0,88.5,5.0,9,38364.91639677716
Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,19.41878335651954,1248.0,88.5,5.0,6,52783.94537811623
Hyundai i10 Magna,2011,235000,60000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1197.0,78.9,5.0,14,12101.685037909576
Maruti Swift VDI Deca,2016,630000,70000,Diesel,Individual,Manual,First Owner,19.41878335651954,1248.0,74.0,5.0,9,32442.815208012904
Toyota Fortuner 4x4 MT,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,19.41878335651954,2982.0,168.5,7.0,10,87544.10452955862
Maruti Swift Star VDI,2013,450000,120000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1248.0,74.0,5.0,12,23173.43943429493
Maruti Ertiga ZXI,2012,450000,120000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1373.0,93.7,7.0,13,23173.43943429493
Tata Indica DLS,2003,50000,70000,Diesel,Individual,Manual,First Owner,19.41878335651954,1248.0,82.0,5.0,22,2574.826603810548
Volkswagen Vento Diesel Highline,2013,450000,170000,Diesel,Individual,Manual,First Owner,19.41878335651954,1598.0,103.6,5.0,12,23173.43943429493
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,Diesel,Individual,Manual,First Owner,19.41878335651954,2494.0,100.6,8.0,9,61795.83849145315
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,Diesel,Individual,Manual,First Owner,19.41878335651954,1498.0,98.59,5.0,10,31412.884566488683
BMW X1 sDrive20i xLine,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,19.41878335651954,1998.0,189.0,5.0,9,128741.3301905274
Maruti Celerio ZXI MT BSIV,2017,484999,10000,Petrol,Dealer,Manual,First Owner,19.41878335651954,998.0,67.04,5.0,8,24975.76656043024
Datsun GO A Petrol,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.41878335651954,1198.0,67.05,5.0,9,14161.546320958014
Maruti Alto 800 VXI BSIV,2016,315000,32000,Petrol,Dealer,Manual,First Owner,19.41878335651954,796.0,47.3,5.0,9,16221.407604006452
Maruti Alto 800 LXI BSIV,2016,275000,38000,Petrol,Dealer,Manual,First Owner,19.41878335651954,796.0,47.3,5.0,9,14161.546320958014
Maruti Swift VDI BSIV W ABS,2015,475000,78000,Diesel,Dealer,Manual,First Owner,19.41878335651954,1248.0,82.0,5.0,10,24460.852736200206
Hyundai i10 Era 1.1,2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.41878335651954,1086.0,68.05,5.0,13,14933.994302101179
Maruti Omni 8 Seater BSIV,2017,280000,32000,Petrol,Dealer,Manual,First Owner,19.41878335651954,796.0,35.0,5.0,8,14419.028981339068
Maruti Wagon R LXI LPG BSIV,2010,225000,44000,LPG,Dealer,Manual,First Owner,19.41878335651954,998.0,58.2,5.0,15,11586.719717147465
Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,Petrol,Dealer,Manual,First Owner,19.41878335651954,1198.0,74.0,5.0,10,23430.922094675985
Hyundai i10 Magna 1.1L,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.41878335651954,1086.0,68.05,5.0,10,18075.282758750047
Volkswagen Vento Petrol Highline,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,19.41878335651954,1598.0,103.6,5.0,13,27550.64466077286
Maruti Zen Estilo LXI BSIII,2009,175000,55500,Petrol,Dealer,Manual,First Owner,19.41878335651954,998.0,67.1,5.0,16,9011.893113336917
Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,Petrol,Dealer,Manual,First Owner,19.41878335651954,1197.0,82.85,5.0,12,27035.679340010753
Maruti Swift Dzire LDI,2016,600000,150000,Diesel,Individual,Manual,First Owner,19.41878335651954,1248.0,74.0,5.0,9,30897.919245726574
Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.41878335651954,1197.0,82.0,5.0,9,29095.54062305919
Maruti Alto LX BSIII,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.41878335651954,796.0,46.3,5.0,17,6179.583849145315
Hyundai i20 1.4 Asta Option,2017,725000,110000,Diesel,Individual,Manual,First Owner,19.41878335651954,1396.0,88.73,5.0,8,37334.98575525294
Maruti Wagon R VXI,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,19.41878335651954,998.0,67.05,5.0,16,9526.858434099027
Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1248.0,90.0,5.0,15,10299.306415242192
Maruti Swift VXI,2019,615000,10000,Petrol,Individual,Manual,First Owner,19.41878335651954,1197.0,81.8,5.0,6,31670.367226869737
Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,Petrol,Individual,Manual,Third Owner,19.41878335651954,1196.0,73.0,7.0,9,13904.063660576958
Maruti Baleno Zeta 1.2,2018,610000,35000,Petrol,Individual,Manual,First Owner,19.41878335651954,1197.0,83.1,5.0,7,31412.884566488683
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,19.41878335651954,2179.0,120.0,8.0,11,32185.33254763185
Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1194.0,94.68,5.0,5,20598.612830484384
Hyundai Verna VTVT 1.6 SX,2017,866000,37800,Petrol,Individual,Manual,First Owner,19.41878335651954,1591.0,121.3,5.0,8,44595.99677799869
Volkswagen Passat 1.8 TSI MT,2010,700000,114000,Petrol,Individual,Manual,First Owner,19.41878335651954,1798.0,160.0,5.0,15,36047.57245334767
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,Petrol,Individual,Manual,First Owner,19.41878335651954,1172.0,65.0,5.0,15,15448.959622863287
Mahindra XUV500 W11 Option AWD,2019,1700000,32000,Diesel,Individual,Manual,First Owner,19.41878335651954,2179.0,155.0,7.0,6,87544.10452955862
Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,Diesel,Individual,Manual,First Owner,19.41878335651954,1405.0,69.01,5.0,9,19311.19952857911
Hyundai Verna 1.6 SX,2013,522000,150000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1582.0,126.32,5.0,12,26881.18974378212
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,Diesel,Individual,Manual,First Owner,19.41878335651954,1396.0,88.76,5.0,12,23276.381001915277
Toyota Corolla Altis G,2009,300000,100000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1798.0,138.1,5.0,16,15448.959622863287
Maruti Celerio VXI,2020,475000,13000,Petrol,Individual,Manual,First Owner,19.41878335651954,998.0,67.04,5.0,5,24460.852736200206
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,Diesel,Individual,Manual,First Owner,19.41878335651954,1248.0,88.5,5.0,9,40167.295019444544
Maruti Swift Dzire VXI,2017,595000,40000,Petrol,Individual,Manual,First Owner,19.41878335651954,1197.0,83.14,5.0,8,30640.43658534552
Maruti Wagon R VXI BS IV,2017,440000,35000,Petrol,Individual,Manual,First Owner,19.41878335651954,998.0,67.04,5.0,8,22658.474113532822
Maruti Swift VDI BSIV,2010,300000,120000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1248.0,82.0,5.0,15,15448.959622863287
Nissan Terrano XL 85 PS,2014,400000,70000,Diesel,Individual,Manual,Third Owner,19.41878335651954,1461.0,83.8,5.0,11,20598.612830484384
Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,Diesel,Individual,Manual,First Owner,19.41878335651954,1582.0,126.2,5.0,9,58706.04656688049
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,Diesel,Individual,Manual,First Owner,19.41878335651954,1498.0,98.96,5.0,8,43772.05226477931
Maruti Swift Dzire VDi,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.41878335651954,1248.0,73.9,5.0,13,19053.716868198055
Renault KWID 1.0,2018,350000,25000,Petrol,Individual,Manual,First Owner,19.41878335651954,999.0,67.0,5.0,7,18023.786226673834
Maruti Celerio VXI,2015,360000,40000,Petrol,Individual,Manual,Second Owner,19.41878335651954,998.0,67.04,5.0,10,18538.751547435946
Maruti Alto LXi,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.41878335651954,796.0,46.3,5.0,17,5407.13586800215
Maruti Ertiga VDI,2013,625000,90000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1248.0,88.76,7.0,12,32185.33254763185
Hyundai Santro Xing GLS,2009,135000,80000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1086.0,62.1,5.0,16,6952.031830288479
Maruti Ertiga VDI,2015,700000,110000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1248.0,88.76,7.0,10,36047.57245334767
Honda Amaze S i-VTEC,2019,690000,1303,Petrol,Dealer,Manual,First Owner,19.41878335651954,1198.0,86.7,5.0,6,35532.60713258556
Audi Q5 35TDI Premium Plus,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,19.41878335651954,1968.0,188.0,5.0,7,204698.71500293855
Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,1999.0,177.0,5.0,8,164788.90264387507
Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,19.41878335651954,3604.0,280.0,5.0,8,211135.78151246492
Land Rover Discovery Sport TD4 SE,2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,1999.0,148.31,7.0,6,231734.39434294932
BMW 5 Series 520d Sport Line,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,19.41878335651954,1995.0,187.74,5.0,7,195171.85656883952
BMW X1 sDrive 20D xLine,2017,2150000,27000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,1248.0,82.0,5.0,8,110717.54396385356
Skoda Superb LK 1.8 TSI AT,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,19.41878335651954,1798.0,177.46,5.0,7,96040.98082560136
Mercedes-Benz E-Class E250 Edition E,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,2143.0,204.0,5.0,9,139040.6366057696
MG Hector Sharp AT BSIV,2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,19.41878335651954,1451.0,141.0,5.0,6,90118.93113336917
Honda City i-VTEC CVT VX,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,19.41878335651954,1497.0,117.6,5.0,8,40939.74300058771
Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,19.41878335651954,1798.0,138.03,5.0,12,32185.33254763185
Volvo XC40 D4 R-Design,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,1969.0,190.0,5.0,7,175088.20905911725
Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,2967.0,241.4,7.0,10,136465.81000195903
Maruti Ciaz ZDi,2015,535000,40000,Diesel,Dealer,Manual,First Owner,19.41878335651954,1248.0,88.5,5.0,10,27550.64466077286
BMW 5 Series 523i,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,19.41878335651954,2497.0,150.0,5.0,15,50209.11877430569
Hyundai Elantra S,2016,805000,49900,Petrol,Dealer,Manual,First Owner,19.41878335651954,1797.0,147.5,5.0,9,41454.70832134982
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,1999.0,177.0,5.0,8,135178.39670005377
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,Petrol,Dealer,Manual,First Owner,19.41878335651954,1198.0,108.5,5.0,7,41763.68751380709
Volkswagen Vento Petrol Highline,2011,375000,49000,Petrol,Individual,Manual,First Owner,19.41878335651954,1598.0,103.6,5.0,14,19311.19952857911
Hyundai Elantra SX,2012,550000,95000,Petrol,Individual,Manual,First Owner,19.41878335651954,1797.0,147.5,5.0,13,28323.092641916028
Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,19.41878335651954,1598.0,103.5,5.0,9,33215.26318915607
Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,19.41878335651954,1991.0,183.0,5.0,7,131316.15679433793
Maruti Ertiga ZXI,2014,599000,46100,Petrol,Dealer,Manual,First Owner,19.41878335651954,1373.0,93.7,7.0,11,30846.422713650365
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,19.41878335651954,1991.0,181.04,5.0,8,139040.6366057696
Honda City V AT,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,19.41878335651954,1497.0,116.3,5.0,8,45059.46556668459
Toyota Glanza V CVT,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19.41878335651954,1197.0,81.8,5.0,6,46089.34471167673
Maruti Alto K10 VXI,2011,175000,11000,Petrol,Dealer,Manual,First Owner,19.41878335651954,998.0,67.05,5.0,14,9011.893113336917
Maruti Swift VXI,2012,340000,24300,Petrol,Dealer,Manual,First Owner,19.41878335651954,1197.0,81.8,5.0,13,17508.820905911725
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,19.41878335651954,2755.0,171.5,7.0,9,78532.2114162217
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,1497.0,108.5,5.0,7,52783.94537811623
BMW 3 Series 320d Luxury Line,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,1995.0,190.0,5.0,9,110717.54396385356
Toyota Camry 2.5 Hybrid,2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.41878335651954,2494.0,157.7,5.0,9,97843.41094480082
BMW 5 Series 520d Luxury Line,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,1995.0,190.0,5.0,9,149339.94302101177
Toyota Camry W4 (AT),2009,450000,71000,Petrol,Dealer,Automatic,First Owner,19.41878335651954,2362.0,164.7,5.0,16,23173.43943429493
Maruti Ertiga BSIV ZXI Plus,2016,850000,20000,Petrol,Individual,Manual,First Owner,19.41878335651954,1373.0,91.1,7.0,9,43772.05226477931
Volkswagen Vento Diesel Highline,2011,300000,100000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1598.0,103.6,5.0,14,15448.959622863287
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,Petrol,Individual,Manual,First Owner,19.41878335651954,1196.0,86.8,5.0,7,29610.5059438213
Ford Figo Diesel LXI,2011,160000,120000,Diesel,Individual,Manual,First Owner,19.41878335651954,1399.0,68.0,5.0,14,8239.445132193754
Maruti Swift VXI Optional,2015,515000,36600,Petrol,Individual,Manual,First Owner,19.41878335651954,1197.0,81.8,5.0,10,26520.714019248644
Maruti Wagon R AMT VXI,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,19.41878335651954,998.0,67.0,5.0,10,20083.647509722272
Hyundai i20 Magna 1.2,2016,550000,14000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1197.0,81.83,5.0,9,28323.092641916028
Maruti 800 Std,1999,40000,40000,Petrol,Individual,Manual,Second Owner,19.41878335651954,796.0,37.0,4.0,26,2059.8612830484385
Maruti Ritz VDi,2010,220000,120000,Diesel,Individual,Manual,First Owner,19.41878335651954,1248.0,73.9,5.0,15,11329.237056766411
Hyundai Grand i10 Magna,2015,425000,70000,Petrol,Individual,Manual,First Owner,19.41878335651954,1197.0,82.0,5.0,10,21886.026132389656
Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,Petrol,Individual,Manual,First Owner,19.41878335651954,999.0,75.0,5.0,6,24718.33539658126
Hyundai Grand i10 Sportz,2014,400000,60000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1197.0,82.0,5.0,11,20598.612830484384
Maruti Swift Dzire VXI,2014,487000,35000,Petrol,Individual,Manual,First Owner,19.41878335651954,1197.0,85.8,5.0,11,25078.811121114737
Hyundai Xcent 1.2 Kappa S,2016,386000,44000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1197.0,82.0,5.0,9,19877.66138141743
Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1493.0,100.0,5.0,20,5149.653207621096
